tcode,description,module
MIR4,Call MIRO - Change Status,MM
MIR5,Display List of Invoice Documents,MM
MIW1,Batch I.;PhInDoc f. Consigt at Cust.,MM
MK03,Display vendor (Purchasing),MM
MKVZ,List of Vendors: Purchasing,MM
ML33,Create Vendor Conditions,MM
ML34,Change Vendor Conditions,MM
ML39,Create Vendor Conditions,MM
ML40,Change Vendor Conditions,MM
ML46,Change Service Conditions,MM
ML82,Display Service Entry Sheet,MM
MLCCSPD,Cost Components for Price,FI
MM01,Create Material ,MM
MM02,Change Material ,MM
MM03,Display Material ,MM
MM04,Display Material Change Documents,MM
MM19,Display Material & at Key Date,MM
MM60,Materials List,MM
MMBE,Stock Overview,MM
MN04,Create Message: PO,MM
MN05,Change Message: PO,MM
MN06,Display Message: PO,MM
MN10,Create Message: Schd. Agmt. Schedule,MM
MN11,Change Message: Schd. Agmt. Schedule,MM
MN12,Displ. Message: Schd. Agmt. Schedule,MM
MP01,Maintain AMPL Records,MM
MP02,Display AMPL Records,MM
MRBR,Release Blocked Invoices,MM
MRN9,Balance Sheet Values by Account,MM
MSC1N,Create Batch,PP
MSC3N,Display Batch,PP
MSC4N,Display Change Documents for Batch,PP
MSRV2,Service List for Requisition,MM
MSRV3,Service List for Purchase Order,MM
MSRV4,Service List for RFQ,MM
NWBC,Launch NWBC,FI
O27C,Display Charac. with PP-PI Attribute,PP
OKENN,Display Standard Hierarchy,FI
OKKS,Set Controlling Area,FI
OKP2,Display Period Lock,FI
OV50,Comparison of master data for cust.,SD
OV51,Display of Changes for Customer,SD
OVF_HISTORY,History of Online Validation Checks,PP
OVF_MASS_CHECK,Online Validation for Partners,PP
PK06,PP Maintain Supply Area (Kanban),PP
PK11,Plant Overview: Kanban,PP
PK18,Evaluation Control Cycle/Kanban,PP
PK50,Display Errors: Kanban,PP
POF3,Display Packing Instr. Determination,PP
POP3,Display Packing Instruction,PP
PPOSE,Display organization and Staffing,PP
QA03,Display inspection lot,QM
QA07L,Deadline Monitoring Log,QM
QA13,Display usage decision,QM
QA32,Change data for inspection lot,QM
QA33,Display data for inspection lot,QM
QC03,Display certificate profile,QM
QC17,Display cert. profile assignment,QM
QC51,Create certificate in procurement,QM
QC52,Change certificate in procurement,QM
QC55,Worklist: Certificates - Procurement,QM
QDB3,Display allowed relationships,QM
QDH2,Q-level evaluation: Display data,QM
QDL3,Display quality level,QM
QDP3,Display sampling scheme,QM
QDR3,Display dynamic modification rule,QM
QDR6,Disp. where-used list-dyn. mod. rule,QM
QDV3,Display sampling procedure,QM
QE03,Display characteristic results,QM
QE09,Indiv.display of charac.result,QM
QE13,Display results for inspection point,QM
QEI1,Displaying QM Interfaces Appl. Log,QM
QF03,Display defect data,QM
QGA2,Display inspection results,QM
QGA4,General QM Evaluations,QM
QGC1,Qual. control charts for insp. lots,QM
QGC2,Control charts for task list charac.,QM
QGC3,Control charts for master insp. char,QM
QI03,Display quality info. - purchasing,QM
QK02,Display assigned QM orders,QM
QM01,Create quality notification,QM
QM02,Change quality notification,QM
QM03,Display quality notification,QM
QM10,Change list of quality notifications,QM
QM11,Display List of Qual. Notifications,QM
QM12,Change list of tasks,QM
QM13,Display list of tasks,QM
QM14,Change list of items,QM
QM15,Display list of items,QM
QM16,Change activity list,QM
QM17,Display activity list,QM
QM19,"List of Q Notifications, Multi-Level",QM
